"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","DigiKey","Digikey"
"C1,C20,C21,C22","4","10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNE/3886754","1276-1096-1-ND",""
"C2","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C105K4RAC7800TR-ND",""
"C3","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1276-1015-1-ND",""
"C4","1","47pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C470J5GAC7210TR-ND",""
"C5,C6,C8","3","10pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","399-C0805C100J5GAC7800TR-ND",""
"C7,C9,C11,C12,C13,C14,C15,C16,C17,C18,C19,C23,C26","13","0.10uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1276-1003-2-ND",""
"C10","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","1276-1065-1-ND",""
"C24","1","6.8nF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","399-C0805C682K5RAC7800TR-ND",""
"C25","1","120pF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","399-C0805C121J5GAC7800TR-ND",""
"C27,C28,C29,C30,C31","5","100 uF","","","","Capacitor_SMD:C_1206_3216Metric","~","490-GRM31CR61A107MEA8LTR-ND",""
"D1,D2","2","BLUE LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","350-4394-1-ND",""
"H1,H2,H3,H4","4","MountingHole","","Exclure de la Liste du Matériel","","MountingHole:MountingHole_3.2mm_M3","~","",""
"J1","1","CONN_02X05","","","","JOYSTICK:CONN_3220-10-0100-00_CNC","http://www.cnctech.us/pdfs/3220-XX-0100-00_.pdf","1175-1627-ND",""
"J2","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","",""
"L1","1","FerritBead 600 OHM","","","","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","~","732-1620-1-ND",""
"L2","1","15 uH","","","","JOYSTICK:IND_BOURNS_SRR1280","","SRR1280-150MTR-ND",""
"Q1","1","Q_NMOS_GSD","","","","Package_TO_SOT_SMD:SOT-23","~","2N7002-TPMSCT-ND",""
"R1,R16,R17","3","NC","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","",""
"R2,R3,R7,R8,R9,R19","6","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-10.0KCRCT-ND",""
"R4,R22","2","330","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","311-330ARCT-ND",""
"R5,R10","2","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RMCF0805ZT0R00CT-ND",""
"R6","1","120","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","311-120ARCT-ND",""
"R11,R12","2","22","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-22ARCT-ND",""
"R13,R14","2","5.1K","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","","311-5.10KHRCT-ND",""
"R15","1","1M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-1.00MCRTR-ND",""
"R18","1","220k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","A126350CT-ND",""
"R20","1","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-100KCRTR-ND",""
"R21","1","31k6","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","311-31.6KCRTR-ND",""
"S1,S2","2","RB141C1100","","","","JOYSTICK:SWITCH","","EG5637-ND","EG5637-ND"
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_TL3342","","EG2531CT-ND",""
"TP1","1","5V_testpoint","","Exclure de la Liste du Matériel","","TestPoint:TestPoint_Plated_Hole_D2.0mm","~","",""
"TP2","1","GND","","Exclure de la Liste du Matériel","","TestPoint:TestPoint_Plated_Hole_D2.0mm","~","-",""
"TP3","1","3V3_TP","","Exclure de la Liste du Matériel","","TestPoint:TestPoint_Plated_Hole_D2.0mm","~","",""
"U1","1","XBEE_PRO_900HP","","Exclure de la Liste du Matériel","","JOYSTICK:XBEE_900HP","https://www.digi.com/resources/documentation/digidocs/pdfs/90002173.pdf","602-1299-ND",""
"U2","1","STM32F446RETx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00141306.pdf","497-15376-ND",""
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","http://www2.st.com/resource/en/datasheet/CD00050750.pdf","497-11882-1-ND",""
"U4","1","TPS54335ADDAR","","","","Package_SO:TI_SO-PowerPAD-8_ThermalVias","https://www.ti.com/lit/ds/symlink/tps54335a.pdf?ts=1714862069976&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS54335A","296-TPS54335ADDARTR-ND",""
"U5","1","COM-28379","","","","TFT:TFT screen ILI9341","","1568-COM-28379-ND","1568-COM-28379-ND"
"Y1","1","Crystal_16MHz","","","","JOYSTICK:XTAL_ECS-160-20-3X-TR","https://abracon.com/Resonators/ab308.pdf","XC1776CT-ND",""
